saphybris_107701,1
saphybris_1232590,2
saphybris_1291399,2
saphybris_1298094,1
saphybris_1312564,2
saphybris_1320808,1
saphybris_1325806,3
saphybris_1366001,4
saphybris_1366053,2
saphybris_137220,2
saphybris_1377492,1
saphybris_1391319,2
saphybris_1432722,2
saphybris_1438465,4
saphybris_1438466,2
saphybris_1446509,3
saphybris_1451546,2
saphybris_1451563,1
saphybris_149243,1
saphybris_1494590,1
saphybris_1687508,3
saphybris_1715477,1
saphybris_1776947,1
saphybris_1776948,2
saphybris_1934398,1
saphybris_1934406,2
saphybris_1990255,3
saphybris_1992693,3
saphybris_1992695,2
saphybris_1992696,3
saphybris_1992697,1
saphybris_1993747,1
saphybris_1993748,4
saphybris_1997551,1
saphybris_2006139,2
saphybris_2006365,4
saphybris_2140197,3
saphybris_2140285,2
saphybris_2231913,4
saphybris_2278102,3
saphybris_2292454,1
saphybris_23355,1
saphybris_266685,1
saphybris_266899,3
saphybris_278688,1
saphybris_289540,3
saphybris_2934297,4
saphybris_2934302,2
saphybris_2934303,1
saphybris_2938457,4
saphybris_2938458,2
saphybris_29925,2
saphybris_300938,1
saphybris_301233,4
saphybris_325234,4
saphybris_325414,3
saphybris_3325048,1
saphybris_3357724,4
saphybris_3357888,4
saphybris_3429337,4
saphybris_346944,2
saphybris_3470545,1
saphybris_3514519,1
saphybris_3514520,3
saphybris_358639,4
saphybris_3965240,2
saphybris_4135570,1
saphybris_429430,4
saphybris_450848,1
saphybris_454831,1
saphybris_458542,3
saphybris_4608858,1
saphybris_4769104,2
saphybris_4769626,1
saphybris_4786113,3
saphybris_4787985,1
saphybris_4787986,2
saphybris_478828,1
saphybris_493683,2
saphybris_503392,3
saphybris_5103712,1
saphybris_5103775,1
saphybris_592506,1
saphybris_669789,3
saphybris_676442,3
saphybris_686951,4
saphybris_779841,4
saphybris_779842,1
saphybris_779848,1
saphybris_779864,1
saphybris_779866,1
saphybris_784173,3
saphybris_805693,4
saphybris_812888,3
saphybris_816261,2
saphybris_816262,1
saphybris_816323,3
saphybris_816324,1
saphybris_816379,1
saphybris_816780,1
saphybris_816802,2
saphybris_824259,1
saphybris_824267,4
saphybris_834954,2
saphybris_834955,4
saphybris_847942,3
saphybris_848855,4
saphybris_855246,1
saphybris_861175,1
saphybris_872912,2
saphybris_917699,4
saphybris_918735,4
saphybris_932577,1
canon_1099285,3
canon_1099413,3
canon_1209761,1
canon_1225694,3
canon_1382080,1
canon_1422218,1
canon_1422222,1
canon_1422224,2
canon_1422706,2
canon_1934793,4
canon_1934794,3
canon_1934795,1
canon_1934796,1
canon_1986316,4
canon_2053226,1
canon_2053266,4
canon_2053367,3
canon_2054947,4
canon_2063624,3
canon_284533,1
canon_3555166,1
canon_3557133,3
canon_3595723,1
canon_3708646,2
canon_4812254,3
canon_514518,1
canon_572461,4
canon_572473,4
canon_594471,2
canon_65652,4
canon_726510,3
canon_726511,1
canon_768108,1
canon_784343,3
canon_791635,1
canon_832382,2
canon_832386,4
canon_898503,1
canon_898520,1
canon_899387,4
samsung_1981412,1
samsung_1981413,1
samsung_1981414,1